,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MONEDA
91,2025-02-03 00:00:00,ABONO INTERESES AHORROS,33.29,25068265.42,COP
92,2025-02-03 00:00:00,COMPRA EN  SUPERMERCA,-60450.0,25007815.42,COP
93,2025-02-03 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-700000.0,24307815.42,COP
94,2025-02-04 00:00:00,COMPRA EN  TIENDA D1,-35090.0,24272725.42,COP
95,2025-02-04 00:00:00,PAGO PSE COMUNICACION CELULAR,-31500.0,24241225.42,COP
96,2025-02-05 00:00:00,ABONO INTERESES AHORROS,66.4,24241291.82,COP
97,2025-02-06 00:00:00,ABONO INTERESES AHORROS,32.86,24241324.68,COP
98,2025-02-06 00:00:00,COMPRA EN  TIENDA D1,-43890.0,24197434.68,COP
99,2025-02-06 00:00:00,COMPRA EN  JHON PEZ F,-76990.0,24120444.68,COP
100,2025-02-06 00:00:00,PAGO PSE COMUNICACION CELULAR,-130508.0,23989936.68,COP
101,2025-02-07 00:00:00,ABONO INTERESES AHORROS,32.69,23989969.37,COP
102,2025-02-07 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-120000.0,23869969.37,COP
103,2025-02-08 00:00:00,COMPRA EN  EXITO WOW,-143196.0,23726805.75,COP
104,2025-02-08 00:00:00,COMPRA EN  SUPERMERCA,-88633.0,23638172.75,COP
105,2025-02-08 00:00:00,ABONO INTERESES AHORROS,32.38,23870001.75,COP
106,2025-02-09 00:00:00,COMPRA EN  SURTIPLAZA,-96500.0,23541672.75,COP
107,2025-02-10 00:00:00,ABONO INTERESES AHORROS,64.48,23541737.23,COP
108,2025-02-11 00:00:00,ABONO INTERESES AHORROS,32.08,23541769.31,COP
109,2025-02-11 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-120000.0,23421769.31,COP
110,2025-02-12 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-50000.0,23371769.31,COP
111,2025-02-13 00:00:00,ABONO INTERESES AHORROS,64.02,23371833.33,COP
112,2025-02-14 00:00:00,ABONO INTERESES AHORROS,35.62,27109328.95,COP
113,2025-02-14 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-1000000.0,26109328.95,COP
114,2025-02-14 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,3737460.0,27109293.33,COP
115,2025-02-14 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-100000.0,26009328.95,COP
116,2025-02-15 00:00:00,ABONO INTERESES AHORROS,35.22,26009364.17,COP
117,2025-02-15 00:00:00,COMPRA EN  BOLD*SUAN,-44000.0,25912564.17,COP
118,2025-02-15 00:00:00,COMPRA EN  METRO IBAG,-73596.0,25838968.17,COP
119,2025-02-15 00:00:00,COMPRA EN  FUENTE DE,-52800.0,25956564.17,COP
120,2025-02-15 00:00:00,COMPRA EN  JHON PEZ F,-123460.0,25715508.17,COP
121,2025-02-16 00:00:00,ABONO INTERESES AHORROS,34.84,25715543.01,COP
122,2025-02-16 00:00:00,COMPRA EN  SUPERMERCA,-75957.0,25639586.01,COP
123,2025-02-16 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-200000.0,25439586.01,COP
124,2025-02-17 00:00:00,ABONO INTERESES AHORROS,34.68,25439620.69,COP
